Scheme_Code,Scheme_Name,Fund_House,Inception_Date
117446,Axis Banking & PSU Debt Fund ,Axis,2012-06-12
141593,Axis Corporate Debt Fund ,Axis,2017-07-18
130309,Axis Credit Risk Fund ,Axis,2014-07-21
115068,Axis Dynamic Bond Fund ,Axis,2011-05-02
149048,Axis Floater Fund ,Axis,2021-08-02
116471,Axis Gilt Fund ,Axis,2012-01-27
112210,Axis Liquid Fund ,Axis,2009-10-11
112214,Axis Treasury Advantage Fund ,Axis,2009-10-12
116894,Axis Strategic Bond Fund ,Axis,2012-04-03
147568,Axis Money Market Fund ,Axis,2019-08-07
146678,Axis Overnight Fund ,Axis,2019-03-17
112354,Axis Short Term Fund ,Axis,2010-01-25
144759,Axis Ultra Short Term Fund ,Axis,2018-09-12
128628,HDFC Banking and PSU Debt Fund ,HDFC,2014-03-26
113070,HDFC Corporate Bond Fund ,HDFC,2010-06-29
128053,HDFC Credit Risk Debt Fund ,HDFC,2014-03-25
101872,HDFC Dynamic Debt Fund ,HDFC,2006-04-03
106841,HDFC Floating Rate Debt Fund ,HDFC,2007-10-23
101083,HDFC Gilt Fund ,HDFC,2006-04-03
100868,HDFC Liquid Fund ,HDFC,2006-04-02
102452,HDFC Low Duration  Fund ,HDFC,2006-04-03
101989,HDFC Medium Term Debt Fund ,HDFC,2006-04-03
100124,HDFC Income Fund ,HDFC,2006-04-03
101993,HDFC Money Market Fund ,HDFC,2006-04-02
101996,HDFC Overnight Fund ,HDFC,2006-04-02
113047,HDFC Short Term  Debt Fund ,HDFC,2010-06-25
145040,HDFC Ultra Short Term Fund ,HDFC,2018-09-25
112342,ICICI Prudential Banking and PSU Debt Fund ,ICICI Prudential,2010-01-04
111987,ICICI Prudential Corporate Bond Fund ,ICICI Prudential,2009-08-12
114239,ICICI Prudential Credit Risk Fund ,ICICI Prudential,2010-12-06
112096,ICICI Prudential All Seasons Bond Fund ,ICICI Prudential,2010-01-21
101802,ICICI Prudential Floating Interest Fund ,ICICI Prudential,2006-04-02
100369,ICICI Prudential Gilt Fund ,ICICI Prudential,2006-04-02
103340,ICICI Prudential Liquid Fund ,ICICI Prudential,2006-04-02
100365,ICICI Prudential Long Term Bond Fund ,ICICI Prudential,2006-04-02
101619,ICICI Prudential Savings Fund ,ICICI Prudential,2006-04-02
102741,ICICI Prudential Medium Term Bond Fund ,ICICI Prudential,2006-04-02
109740,ICICI Prudential Bond Fund ,ICICI Prudential,2008-08-20
103633,ICICI Prudential Money Market Fund Option ,ICICI Prudential,2006-04-02
101758,ICICI Prudential Short Term Fund ,ICICI Prudential,2006-04-02
115092,ICICI Prudential Ultra Short Term Fund ,ICICI Prudential,2011-05-24
125498,SBI BANKING & PSU FUND ,SBI,2013-11-18
146207,SBI Corporate Bond Fund ,SBI,2019-02-08
102505,SBI CREDIT RISK FUND ,SBI,2006-04-03
102205,SBI Dynamic Bond Fund ,SBI,2006-04-03
148543,SBI Floating Rate Debt Fund ,SBI,2020-11-04
101001,SBI MAGNUM GILT FUND ,SBI,2006-04-03
105280,SBI Liquid Fund ,SBI,2007-03-24
106212,SBI MAGNUM LOW DURATION FUND ,SBI,2007-08-02
102053,SBI MAGNUM MEDIUM DURATION FUND ,SBI,2006-04-03
100639,SBI Magnum Income Fund,SBI,2006-04-03
102503,SBI  SAVINGS FUND ,SBI,2006-04-03
101206,SBI OVERNIGHT FUND ,SBI,2006-04-01
106231,SBI SHORT TERM DEBT FUND ,SBI,2007-08-02
100641,SBI MAGNUM ULTRA SHORT DURATION FUND ,SBI,2006-04-01
109371,Canara Robeco Ultra Short Fund,Canara,2008-07-14
102913,Canara Robeco Savings Fund,Canara,2006-04-01
109353,Canara Robeco Liquid Fund,Canara,2008-07-15
115077,Canara Robeco Short Duration Fund,Canara,2011-04-26
150503,Canara Robeco Banking & PSU Debt Fund,Canara,2022-08-24
100601,Canara Robeco Conservative Hybrid Fund,Canara,2006-04-12
111962,Canara Robeco Dynamic Bond Fund,Canara,2009-06-01
138337,PGIM India Ultra Short Fund,PGIM,2016-03-08
138256,PGIM India Short Duration Fund,PGIM,2016-03-08
138423,PGIM India Low Duration Fund,PGIM,2016-03-08
138566,PGIM India Banking & PSU Debt Fund,PGIM,2016-03-08
138281,PGIM India Liquid Fund,PGIM,2016-03-08
138372,PGIM India Equity Savings Fund,PGIM,2016-03-08
116485,PGIM India Dynamic Bond Fund,PGIM,2012-01-16
148657,PGIM India Balanced Advantage Fund,PGIM,2021-02-08
143493,Nippon India Ultra Short Fund,Nippon India,2018-05-21
101665,Nippon India Short Term Fund,Nippon India,2006-04-03
111753,Nippon India Low Duration Fund,Nippon India,2009-02-11
134545,Nippon India Banking & PSU Debt Fund,Nippon India,2015-05-18
100851,Nippon India Liquid Fund,Nippon India,2006-04-02
134593,Nippon India Equity Savings Fund,Nippon India,2015-06-04
102849,Nippon India Dynamic Bond Fund,Nippon India,2006-04-03
102846,Nippon India Balanced Advantage Fund,Nippon India,2006-04-03
103225,Quant Liquid Fund,Quant,2006-04-03
148530,Mirae Asset Ultra Short Fund,Mirae Asset,2020-10-08
142642,Mirae Asset Short Term Fund,Mirae Asset,2018-03-19
148416,Mirae Asset Banking & PSU Debt Fund,Mirae Asset,2020-07-27
145695,Mirae Asset Equity Savings Fund,Mirae Asset,2018-12-18
140771,Mirae Asset Dynamic Bond Fund,Mirae Asset,2017-03-27
150473,Mirae Asset Balanced Advantage Fund,Mirae Asset,2022-08-12
133805,Kotak Low Duration Fund,Kotak,2015-02-02
123690,Kotak Banking & PSU Debt Fund,Kotak,2013-08-14
100835,Kotak Liquid Fund,Kotak,2006-04-02
131372,Kotak Equity Savings Fund,Kotak,2014-10-17
108511,Kotak Dynamic Bond Fund,Kotak,2008-05-29
144333,Kotak Balanced Advantage Fund,Kotak,2018-08-10
